episode,return,cost,emissions,safety_violations
0,-150579.7890379536,177223.38354540936,22951.982815648043,71
1,-177184.6054915995,181814.9157989301,23813.857421870995,51
2,-185577.0909885771,249582.8146679436,30347.340015759597,54
3,-183019.85874639748,221376.43705732154,26660.57230869532,42
4,-170531.1317098813,232580.16651535948,27342.30401317486,54
5,-184335.11025805486,212783.93274919334,27417.782304318207,59
6,-156742.91354658827,189031.8701383447,23055.89767470998,58
7,-156962.7693518875,189222.10075181042,23952.829428351408,67
8,-198840.54374178458,262566.3613726808,32550.05355270631,57
9,-223495.7443997566,332765.59952189354,37883.7826827045,62
10,-207926.4955025817,281553.5826996057,33405.93378587423,54
11,-199710.6683523577,244029.84622369517,29700.271855306586,42
12,-190316.6068372397,248578.2612420229,28685.0223758779,41
13,-201604.50444354513,265449.1939926968,30879.02092468012,42
14,-200096.26695617422,232883.77046880618,28615.621482732677,43
15,-167363.9637829844,158575.39051112495,20234.49223273855,38
16,-192868.9342730674,219997.42050352786,27928.324578926997,36
17,-227722.14786817838,267610.5751776141,31256.963932149563,27
18,-208109.59734423412,229007.36082062832,28607.149214268557,28
19,-208082.33327847824,221969.3488404953,27842.79588190519,38
20,-250953.1432045654,311791.4616059935,35943.68120917984,36
21,-174001.77303390187,141078.21620613628,22704.710936805994,45
22,-241922.83558866585,277473.6120692863,34523.05109564826,35
23,-199201.57897568462,217560.94221532304,27048.91764045685,37
24,-241121.42812262505,300646.13840922795,34958.523806589954,36
25,-220969.9887922985,250829.0568998955,29695.505243956643,29
26,-151286.65958919167,114026.82695796445,18240.707317652003,52
27,-158930.77087079038,135270.1096071455,20177.85646934244,63
28,-206374.58643190525,201550.72964158305,27923.45067808843,45
29,-142951.8211898549,112828.58341023605,16964.998106595292,57
30,-198947.96137370344,237895.99649821542,28995.3204601169,52
31,-158016.06990386033,121076.50165975589,18579.798155925906,60
32,-207045.64723480676,244289.95676265997,30054.2174911396,47
33,-209681.225782372,203320.12136675144,26730.24015900046,42
34,-170558.66851543993,109815.3496287165,18968.75829204909,43
35,-203951.64849711428,191350.1028002096,24894.79346480397,42
36,-243507.0255886172,274810.41806526534,33022.551783623676,44
