episode,return,cost,emissions,safety_violations,unmet_demand,actor_loss,critic_loss,entropy
0,-106426.60318208946,14683.22572342405,5767.271164238977,76,0,0.0,0.0,0.0
1,-116123.77737973124,62334.241844786324,8520.857505503174,81,0,0.0,0.0,0.0
2,-103893.69020401187,36485.52258368688,6266.437834965178,70,0,0.0,0.0,0.0
3,-110489.21335269367,52201.968529463236,7331.548228549364,74,0,0.0,0.0,0.0
4,-115334.48561600265,31809.868168440342,6899.42969788104,76,0,0.0,0.0,0.0
5,-114208.15659131095,44331.42640965502,7180.761208976617,77,0,0.0,0.0,0.0
6,-102832.16882377218,19313.15136488474,5795.028413750834,80,0,0.0,0.0,0.0
7,-113122.38772809072,30782.82941634002,6535.3513907551005,81,0,0.0,0.0,0.0
8,-112115.14411130076,55189.590401014386,7932.075637177249,71,0,0.0,0.0,0.0
9,-107826.3486366059,36638.69067823491,6435.31650981128,84,0,0.0,0.0,0.0
10,-105224.59189530753,51256.45717653113,7438.4652230888605,78,0,0.0,0.0,0.0
11,-113412.2092825018,62336.501967424294,8207.508555102218,77,0,0.0,0.0,0.0
12,-110491.75061558287,50405.709675367645,7972.510278020459,73,0,0.0,0.0,0.0
13,-113435.83496735212,53249.66503546351,7907.043287174308,71,0,0.0,0.0,0.0
14,-114155.30999470953,59268.67673737667,8608.740852829811,76,0,0.0,0.0,0.0
15,-117098.98837355558,67959.3371680461,8463.533159327153,75,0,0.0,0.0,0.0
16,-122243.51602485444,69079.47359425935,9196.559330968454,72,0,0.0,0.0,0.0
17,-102325.09188419246,34790.63690370735,5903.088017812554,72,0,0.0,0.0,0.0
18,-120041.41214212269,69015.61529365632,9086.58343465884,76,0,0.0,0.0,0.0
19,-117645.34030332268,81080.96840086312,9551.685896989862,76,0,0.0,0.0,0.0
20,-107313.0163899573,35863.838738331644,6760.251139652914,70,0,0.0,0.0,0.0
21,-104525.13286648542,40386.984036155874,6164.5865078932875,77,0,-0.09412578329443931,1482853.5375,6.964165363311768
22,-123140.65583025203,71454.73155964779,8988.016252911419,77,0,0.0,0.0,0.0
23,-111212.17369934641,50260.61551900391,7481.6361406141505,73,0,0.0,0.0,0.0
24,-116328.70328031843,70501.19267192882,8991.706925586295,71,0,0.0,0.0,0.0
25,-123060.57913415838,86563.76907627356,10391.845568974912,76,0,0.0,0.0,0.0
26,-106798.91427497022,26427.435511432814,5966.40049319954,81,0,0.0,0.0,0.0
27,-112068.07496791215,48880.09697817177,7291.746177766372,64,0,0.0,0.0,0.0
28,-121257.17775964629,62225.891430810174,9190.890769393678,72,0,0.0,0.0,0.0
29,-106200.16949366154,34978.32030357159,7166.92509422414,81,0,0.0,0.0,0.0
30,-106706.65353635751,31591.986702199247,6374.794686623398,73,0,0.0,0.0,0.0
31,-122124.96198910418,68306.34518091525,8524.656690363503,85,0,0.0,0.0,0.0
32,-117224.23128580411,60500.72381512131,8640.715180944459,78,0,0.0,0.0,0.0
33,-113734.70050513941,54780.13529061892,8214.278885348018,76,0,0.0,0.0,0.0
34,-102172.0733572109,5181.146297418317,5392.272435872305,71,0,0.0,0.0,0.0
35,-114114.83835032835,70488.68205627729,8954.734122029473,68,0,0.0,0.0,0.0
36,-116376.65644744154,57799.36270465782,7847.86382889071,81,0,0.0,0.0,0.0
37,-125610.23137694658,59273.98390368167,8617.6437025811,86,0,0.0,0.0,0.0
38,-114404.61853833515,32360.653765677296,7297.279822004392,78,0,0.0,0.0,0.0
39,-112061.23538893631,36752.0103433318,6895.69450039754,75,0,0.0,0.0,0.0
40,-120406.22744774989,70315.82974570758,9165.422481728592,72,0,0.0,0.0,0.0
41,-120859.2543040765,33627.6371472864,6969.478764612005,80,0,0.0,0.0,0.0
42,-119389.67045877657,68495.10723660463,9060.430011357574,75,0,0.0,0.0,0.0
43,-107102.15321665967,36384.25114865113,7095.807804133015,71,0,-0.12092192441225053,1616516.665,7.055971031188965
44,-124348.72929564906,69385.5426810022,9527.98060854527,81,0,0.0,0.0,0.0
